"Notes"	"County of Residence"	"County of Residence Code"	"Number of Prenatal Visits"	"Number of Prenatal Visits Code"	"Age of Mother 9"	"Age of Mother 9 Code"	"Mother's Education"	"Mother's Education Code"	"NICU Admission"	"NICU Admission Code"	Births	% of Total Births	Average Age of Mother (years)	Average OE Gestational Age (weeks)	Average Birth Weight (grams)	Average Pre-pregnancy BMI	Average Number of Prenatal Visits	Average Interval Since Last Live Birth (months)
	"Baltimore County, MD"	"24005"	"15 prenatal visits"	"15"	"35-39 years"	"35-39"	"Some college credit, but not a degree"	"4"	"No"	"2"	37	0.01%	36.65	38.92	3301.49	30.13	15.00	102.88
	"Baltimore County, MD"	"24005"	"15 prenatal visits"	"15"	"35-39 years"	"35-39"	"Associate degree (AA, AS)"	"5"	"No"	"2"	20	0.01%	36.45	39.25	3424.50	31.86	15.00	88.13
	"Baltimore County, MD"	"24005"	"15 prenatal visits"	"15"	"35-39 years"	"35-39"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	88	0.03%	36.40	39.12	3496.41	28.28	15.00	51.81
	"Baltimore County, MD"	"24005"	"15 prenatal visits"	"15"	"35-39 years"	"35-39"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	77	0.02%	36.39	39.39	3419.71	27.61	15.00	45.29
	"Baltimore County, MD"	"24005"	"15 prenatal visits"	"15"	"35-39 years"	"35-39"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	"No"	"2"	29	0.01%	36.31	39.59	3525.86	24.61	15.00	48.30
	"Baltimore County, MD"	"24005"	"15 prenatal visits"	"15"	"40-44 years"	"40-44"	"Some college credit, but not a degree"	"4"	"No"	"2"	13	0.00%	41.00	38.23	3309.23	32.13	15.00	153.45
	"Baltimore County, MD"	"24005"	"15 prenatal visits"	"15"	"40-44 years"	"40-44"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	15	0.00%	40.60	38.27	3415.00	28.26	15.00	84.67
	"Baltimore County, MD"	"24005"	"15 prenatal visits"	"15"	"40-44 years"	"40-44"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	12	0.00%	41.08	38.42	3379.58	26.18	15.00	80.33
	"Baltimore County, MD"	"24005"	"16 prenatal visits"	"16"	"15-19 years"	"15-19"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	11	0.00%	18.27	39.09	3308.27	24.00	16.00	24.50
	"Baltimore County, MD"	"24005"	"16 prenatal visits"	"16"	"15-19 years"	"15-19"	"High school graduate or GED completed"	"3"	"No"	"2"	24	0.01%	18.75	39.12	3405.75	26.87	16.00	14.00
	"Baltimore County, MD"	"24005"	"16 prenatal visits"	"16"	"20-24 years"	"20-24"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	16	0.00%	21.88	39.06	3291.38	26.15	16.00	49.62
	"Baltimore County, MD"	"24005"	"16 prenatal visits"	"16"	"20-24 years"	"20-24"	"High school graduate or GED completed"	"3"	"No"	"2"	54	0.02%	22.02	39.09	3364.65	28.86	16.00	31.42
	"Baltimore County, MD"	"24005"	"16 prenatal visits"	"16"	"20-24 years"	"20-24"	"Some college credit, but not a degree"	"4"	"No"	"2"	35	0.01%	22.23	39.03	3257.66	26.51	16.00	36.50
	"Baltimore County, MD"	"24005"	"16 prenatal visits"	"16"	"25-29 years"	"25-29"	"High school graduate or GED completed"	"3"	"No"	"2"	71	0.02%	26.96	38.93	3376.62	28.58	16.00	49.35
	"Baltimore County, MD"	"24005"	"16 prenatal visits"	"16"	"25-29 years"	"25-29"	"Some college credit, but not a degree"	"4"	"No"	"2"	81	0.02%	26.88	38.86	3375.23	29.97	16.00	56.17
	"Baltimore County, MD"	"24005"	"16 prenatal visits"	"16"	"25-29 years"	"25-29"	"Associate degree (AA, AS)"	"5"	"No"	"2"	25	0.01%	27.48	39.32	3503.68	28.36	16.00	61.90
	"Baltimore County, MD"	"24005"	"16 prenatal visits"	"16"	"25-29 years"	"25-29"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	68	0.02%	27.32	39.63	3499.56	27.52	16.00	30.55
	"Baltimore County, MD"	"24005"	"16 prenatal visits"	"16"	"25-29 years"	"25-29"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	25	0.01%	27.68	39.60	3416.00	24.66	16.00	29.50
	"Baltimore County, MD"	"24005"	"16 prenatal visits"	"16"	"30-34 years"	"30-34"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	12	0.00%	32.58	38.42	3496.67	31.41	16.00	88.67
	"Baltimore County, MD"	"24005"	"16 prenatal visits"	"16"	"30-34 years"	"30-34"	"High school graduate or GED completed"	"3"	"No"	"2"	56	0.02%	31.70	39.12	3409.32	29.02	16.00	69.38
	"Baltimore County, MD"	"24005"	"16 prenatal visits"	"16"	"30-34 years"	"30-34"	"Some college credit, but not a degree"	"4"	"No"	"2"	59	0.02%	31.76	38.83	3234.71	29.70	16.00	61.23
	"Baltimore County, MD"	"24005"	"16 prenatal visits"	"16"	"30-34 years"	"30-34"	"Associate degree (AA, AS)"	"5"	"No"	"2"	24	0.01%	31.29	39.08	3514.79	30.22	16.00	85.71
	"Baltimore County, MD"	"24005"	"16 prenatal visits"	"16"	"30-34 years"	"30-34"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	109	0.03%	31.96	39.49	3497.62	26.49	16.00	44.12
	"Baltimore County, MD"	"24005"	"16 prenatal visits"	"16"	"30-34 years"	"30-34"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	89	0.03%	31.99	39.54	3523.09	26.76	16.00	42.38
	"Baltimore County, MD"	"24005"	"16 prenatal visits"	"16"	"30-34 years"	"30-34"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	"No"	"2"	21	0.01%	31.62	38.76	3328.81	25.48	16.00	37.50
	"Baltimore County, MD"	"24005"	"16 prenatal visits"	"16"	"35-39 years"	"35-39"	"High school graduate or GED completed"	"3"	"No"	"2"	21	0.01%	36.38	38.86	3403.67	33.75	16.00	89.93
	"Baltimore County, MD"	"24005"	"16 prenatal visits"	"16"	"35-39 years"	"35-39"	"Some college credit, but not a degree"	"4"	"No"	"2"	26	0.01%	36.08	38.35	3271.23	30.87	16.00	73.52
	"Baltimore County, MD"	"24005"	"16 prenatal visits"	"16"	"35-39 years"	"35-39"	"Associate degree (AA, AS)"	"5"	"No"	"2"	22	0.01%	36.86	38.55	3407.68	32.19	16.00	75.50
	"Baltimore County, MD"	"24005"	"16 prenatal visits"	"16"	"35-39 years"	"35-39"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	59	0.02%	36.42	38.53	3347.44	29.10	16.00	45.11
	"Baltimore County, MD"	"24005"	"16 prenatal visits"	"16"	"35-39 years"	"35-39"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	28	0.01%	36.79	39.32	3550.54	26.09	16.00	51.67
	"Baltimore County, MD"	"24005"	"16 prenatal visits"	"16"	"35-39 years"	"35-39"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	"No"	"2"	10	0.00%	35.90	39.70	3438.90	24.22	16.00	40.00
	"Baltimore County, MD"	"24005"	"16 prenatal visits"	"16"	"40-44 years"	"40-44"	"Some college credit, but not a degree"	"4"	"No"	"2"	10	0.00%	40.80	38.40	3121.40	30.71	16.00	115.29
	"Baltimore County, MD"	"24005"	"16 prenatal visits"	"16"	"40-44 years"	"40-44"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	10	0.00%	41.50	38.40	3153.50	29.60	16.00	61.60
	"Baltimore County, MD"	"24005"	"16 prenatal visits"	"16"	"40-44 years"	"40-44"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	12	0.00%	41.00	38.83	3480.00	31.62	16.00	64.78
	"Baltimore County, MD"	"24005"	"17 prenatal visits"	"17"	"20-24 years"	"20-24"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	13	0.00%	22.00	38.31	3119.62	28.67	17.00	33.40
	"Baltimore County, MD"	"24005"	"17 prenatal visits"	"17"	"20-24 years"	"20-24"	"High school graduate or GED completed"	"3"	"No"	"2"	36	0.01%	22.00	38.81	3326.39	30.74	17.00	43.38
	"Baltimore County, MD"	"24005"	"17 prenatal visits"	"17"	"20-24 years"	"20-24"	"Some college credit, but not a degree"	"4"	"No"	"2"	27	0.01%	22.26	38.63	3204.81	28.54	17.00	44.60
	"Baltimore County, MD"	"24005"	"17 prenatal visits"	"17"	"25-29 years"	"25-29"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	15	0.00%	26.80	38.13	3141.67	28.18	17.00	74.42
	"Baltimore County, MD"	"24005"	"17 prenatal visits"	"17"	"25-29 years"	"25-29"	"High school graduate or GED completed"	"3"	"No"	"2"	40	0.01%	26.88	38.77	3216.00	28.71	17.00	60.57
	"Baltimore County, MD"	"24005"	"17 prenatal visits"	"17"	"25-29 years"	"25-29"	"Some college credit, but not a degree"	"4"	"No"	"2"	51	0.01%	27.27	38.82	3270.16	30.86	17.00	46.50
	"Baltimore County, MD"	"24005"	"17 prenatal visits"	"17"	"25-29 years"	"25-29"	"Associate degree (AA, AS)"	"5"	"No"	"2"	15	0.00%	27.47	38.87	3077.47	31.30	17.00	57.00
	"Baltimore County, MD"	"24005"	"17 prenatal visits"	"17"	"25-29 years"	"25-29"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	34	0.01%	27.32	39.44	3391.82	25.30	17.00	25.90
	"Baltimore County, MD"	"24005"	"17 prenatal visits"	"17"	"25-29 years"	"25-29"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	21	0.01%	27.67	39.29	3413.81	28.43	17.00	39.50
	"Baltimore County, MD"	"24005"	"17 prenatal visits"	"17"	"30-34 years"	"30-34"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	11	0.00%	32.00	38.36	3257.27	31.38	17.00	89.70
	"Baltimore County, MD"	"24005"	"17 prenatal visits"	"17"	"30-34 years"	"30-34"	"High school graduate or GED completed"	"3"	"No"	"2"	30	0.01%	32.20	38.73	3393.00	29.69	17.00	86.24
	"Baltimore County, MD"	"24005"	"17 prenatal visits"	"17"	"30-34 years"	"30-34"	"Some college credit, but not a degree"	"4"	"No"	"2"	37	0.01%	31.35	38.76	3369.81	30.98	17.00	71.04
	"Baltimore County, MD"	"24005"	"17 prenatal visits"	"17"	"30-34 years"	"30-34"	"Associate degree (AA, AS)"	"5"	"No"	"2"	13	0.00%	32.38	38.46	3174.00	29.10	17.00	98.29
	"Baltimore County, MD"	"24005"	"17 prenatal visits"	"17"	"30-34 years"	"30-34"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	54	0.02%	31.83	39.37	3476.70	28.69	17.00	44.59
	"Baltimore County, MD"	"24005"	"17 prenatal visits"	"17"	"30-34 years"	"30-34"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	35	0.01%	32.60	39.06	3362.40	28.02	17.00	42.62
	"Baltimore County, MD"	"24005"	"17 prenatal visits"	"17"	"35-39 years"	"35-39"	"High school graduate or GED completed"	"3"	"No"	"2"	16	0.00%	36.94	38.50	3204.06	31.42	17.00	70.40
	"Baltimore County, MD"	"24005"	"17 prenatal visits"	"17"	"35-39 years"	"35-39"	"Some college credit, but not a degree"	"4"	"No"	"2"	15	0.00%	36.47	38.40	3304.33	33.19	17.00	61.62
	"Baltimore County, MD"	"24005"	"17 prenatal visits"	"17"	"35-39 years"	"35-39"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	14	0.00%	36.00	39.43	3383.86	30.11	17.00	77.89
	"Baltimore County, MD"	"24005"	"17 prenatal visits"	"17"	"35-39 years"	"35-39"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	17	0.00%	36.65	38.76	3231.76	25.99	17.00	54.00
	"Baltimore County, MD"	"24005"	"17 prenatal visits"	"17"	"35-39 years"	"35-39"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	"No"	"2"	10	0.00%	36.10	38.60	3546.40	28.09	17.00	64.75
	"Baltimore County, MD"	"24005"	"17 prenatal visits"	"17"	"40-44 years"	"40-44"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	10	0.00%	41.70	38.80	3375.50	29.46	17.00	98.40
	"Baltimore County, MD"	"24005"	"18 prenatal visits"	"18"	"20-24 years"	"20-24"	"High school graduate or GED completed"	"3"	"No"	"2"	26	0.01%	22.04	39.19	3360.65	28.94	18.00	37.70
	"Baltimore County, MD"	"24005"	"18 prenatal visits"	"18"	"20-24 years"	"20-24"	"Some college credit, but not a degree"	"4"	"No"	"2"	17	0.00%	22.53	39.00	3162.65	29.65	18.00	29.00
	"Baltimore County, MD"	"24005"	"18 prenatal visits"	"18"	"25-29 years"	"25-29"	"High school graduate or GED completed"	"3"	"No"	"2"	21	0.01%	26.57	39.00	3350.67	30.07	18.00	46.08
	"Baltimore County, MD"	"24005"	"18 prenatal visits"	"18"	"25-29 years"	"25-29"	"Some college credit, but not a degree"	"4"	"No"	"2"	34	0.01%	27.35	38.56	3334.24	30.78	18.00	61.96
	"Baltimore County, MD"	"24005"	"18 prenatal visits"	"18"	"25-29 years"	"25-29"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	22	0.01%	27.14	39.00	3526.09	27.96	18.00	28.00
	"Baltimore County, MD"	"24005"	"18 prenatal visits"	"18"	"30-34 years"	"30-34"	"High school graduate or GED completed"	"3"	"No"	"2"	24	0.01%	31.50	38.71	3508.54	30.00	18.00	84.94
	"Baltimore County, MD"	"24005"	"18 prenatal visits"	"18"	"30-34 years"	"30-34"	"Some college credit, but not a degree"	"4"	"No"	"2"	29	0.01%	32.00	38.59	3289.55	31.69	18.00	67.83
	"Baltimore County, MD"	"24005"	"18 prenatal visits"	"18"	"30-34 years"	"30-34"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	32	0.01%	32.34	39.06	3291.56	26.57	18.00	39.47
	"Baltimore County, MD"	"24005"	"18 prenatal visits"	"18"	"30-34 years"	"30-34"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	25	0.01%	32.04	38.84	3363.84	28.82	18.00	32.57
	"Baltimore County, MD"	"24005"	"18 prenatal visits"	"18"	"35-39 years"	"35-39"	"Some college credit, but not a degree"	"4"	"No"	"2"	17	0.00%	36.76	38.47	3455.29	29.07	18.00	90.42
	"Baltimore County, MD"	"24005"	"18 prenatal visits"	"18"	"35-39 years"	"35-39"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	25	0.01%	36.40	38.72	3344.48	26.10	18.00	48.59
	"Baltimore County, MD"	"24005"	"18 prenatal visits"	"18"	"35-39 years"	"35-39"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	16	0.00%	36.94	38.12	3284.67	29.77	18.00	59.20
	"Baltimore County, MD"	"24005"	"19 prenatal visits"	"19"	"20-24 years"	"20-24"	"High school graduate or GED completed"	"3"	"No"	"2"	19	0.01%	22.21	39.26	3285.84	27.03	19.00	28.00
	"Baltimore County, MD"	"24005"	"19 prenatal visits"	"19"	"20-24 years"	"20-24"	"Some college credit, but not a degree"	"4"	"No"	"2"	15	0.00%	22.67	38.53	3249.80	30.21	19.00	25.80
	"Baltimore County, MD"	"24005"	"19 prenatal visits"	"19"	"25-29 years"	"25-29"	"High school graduate or GED completed"	"3"	"No"	"2"	30	0.01%	27.07	38.40	3178.90	31.00	19.00	51.92
	"Baltimore County, MD"	"24005"	"19 prenatal visits"	"19"	"25-29 years"	"25-29"	"Some college credit, but not a degree"	"4"	"No"	"2"	16	0.00%	26.69	38.56	3282.81	34.07	19.00	23.00
	"Baltimore County, MD"	"24005"	"19 prenatal visits"	"19"	"25-29 years"	"25-29"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	24	0.01%	27.58	38.92	3437.12	29.83	19.00	53.50
	"Baltimore County, MD"	"24005"	"19 prenatal visits"	"19"	"30-34 years"	"30-34"	"High school graduate or GED completed"	"3"	"No"	"2"	25	0.01%	31.72	38.44	3273.60	30.75	19.00	80.41
	"Baltimore County, MD"	"24005"	"19 prenatal visits"	"19"	"30-34 years"	"30-34"	"Some college credit, but not a degree"	"4"	"No"	"2"	21	0.01%	32.29	38.33	3615.86	34.07	19.00	74.75
	"Baltimore County, MD"	"24005"	"19 prenatal visits"	"19"	"30-34 years"	"30-34"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	26	0.01%	31.65	38.96	3285.35	27.54	19.00	41.25
	"Baltimore County, MD"	"24005"	"19 prenatal visits"	"19"	"30-34 years"	"30-34"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	17	0.00%	32.00	39.00	3601.29	25.35	19.00	35.09
	"Baltimore County, MD"	"24005"	"19 prenatal visits"	"19"	"35-39 years"	"35-39"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	12	0.00%	35.92	37.92	3093.33	27.58	19.00	38.50
	"Baltimore County, MD"	"24005"	"20 prenatal visits"	"20"	"20-24 years"	"20-24"	"High school graduate or GED completed"	"3"	"No"	"2"	18	0.01%	22.39	38.78	3426.67	32.08	20.00	35.00
	"Baltimore County, MD"	"24005"	"20 prenatal visits"	"20"	"20-24 years"	"20-24"	"Some college credit, but not a degree"	"4"	"No"	"2"	11	0.00%	22.55	38.82	3161.82	26.70	20.00	17.00
	"Baltimore County, MD"	"24005"	"20 prenatal visits"	"20"	"25-29 years"	"25-29"	"High school graduate or GED completed"	"3"	"No"	"2"	14	0.00%	27.21	38.71	3172.29	30.72	20.00	62.14
	"Baltimore County, MD"	"24005"	"20 prenatal visits"	"20"	"25-29 years"	"25-29"	"Some college credit, but not a degree"	"4"	"No"	"2"	14	0.00%	27.36	37.93	2882.79	31.09	20.00	55.57
	"Baltimore County, MD"	"24005"	"20 prenatal visits"	"20"	"25-29 years"	"25-29"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	13	0.00%	26.77	39.23	3579.54	27.17	20.00	18.00
	"Baltimore County, MD"	"24005"	"20 prenatal visits"	"20"	"30-34 years"	"30-34"	"High school graduate or GED completed"	"3"	"No"	"2"	14	0.00%	32.07	37.36	3275.21	32.50	20.00	83.56
	"Baltimore County, MD"	"24005"	"20 prenatal visits"	"20"	"30-34 years"	"30-34"	"Some college credit, but not a degree"	"4"	"No"	"2"	19	0.01%	32.00	38.37	3101.32	31.03	20.00	37.86
	"Baltimore County, MD"	"24005"	"20 prenatal visits"	"20"	"30-34 years"	"30-34"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	17	0.00%	31.76	38.00	3133.29	32.76	20.00	33.50
	"Baltimore County, MD"	"24005"	"20 prenatal visits"	"20"	"30-34 years"	"30-34"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	11	0.00%	32.36	38.73	3238.64	28.79	20.00	37.33
	"Baltimore County, MD"	"24005"	"21 prenatal visits"	"21"	"20-24 years"	"20-24"	"High school graduate or GED completed"	"3"	"No"	"2"	13	0.00%	22.69	38.62	3206.92	28.02	21.00	49.50
	"Baltimore County, MD"	"24005"	"21 prenatal visits"	"21"	"25-29 years"	"25-29"	"High school graduate or GED completed"	"3"	"No"	"2"	11	0.00%	27.00	38.36	3324.09	29.95	21.00	47.38
	"Baltimore County, MD"	"24005"	"21 prenatal visits"	"21"	"25-29 years"	"25-29"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	12	0.00%	27.33	38.42	3187.92	32.84	21.00	40.75
	"Baltimore County, MD"	"24005"	"22 prenatal visits"	"22"	"25-29 years"	"25-29"	"Some college credit, but not a degree"	"4"	"No"	"2"	10	0.00%	26.90	38.30	3344.00	26.25	22.00	52.71
	"Baltimore County, MD"	"24005"	"22 prenatal visits"	"22"	"30-34 years"	"30-34"	"Some college credit, but not a degree"	"4"	"No"	"2"	12	0.00%	31.67	38.17	3183.75	32.63	22.00	82.45
	"Baltimore County, MD"	"24005"	"22 prenatal visits"	"22"	"30-34 years"	"30-34"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	11	0.00%	32.00	38.09	3140.91	26.86	22.00	48.14
	"Baltimore County, MD"	"24005"	"24 prenatal visits"	"24"	"25-29 years"	"25-29"	"High school graduate or GED completed"	"3"	"No"	"2"	15	0.00%	26.47	38.07	3074.47	30.63	24.00	51.89
	"Baltimore County, MD"	"24005"	"Unknown or Not Stated"	"99"	"15-19 years"	"15-19"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	18	0.01%	18.06	39.00	3134.72	25.50	Not Applicable	Not Applicable
	"Baltimore County, MD"	"24005"	"Unknown or Not Stated"	"99"	"15-19 years"	"15-19"	"High school graduate or GED completed"	"3"	"No"	"2"	10	0.00%	18.40	38.20	3061.00	23.54	Not Applicable	Not Applicable
	"Baltimore County, MD"	"24005"	"Unknown or Not Stated"	"99"	"20-24 years"	"20-24"	"8th grade or less"	"1"	"No"	"2"	14	0.00%	22.00	38.46	3151.93	24.07	Not Applicable	23.00
	"Baltimore County, MD"	"24005"	"Unknown or Not Stated"	"99"	"20-24 years"	"20-24"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	19	0.01%	22.79	38.16	2912.68	25.40	Not Applicable	39.25
	"Baltimore County, MD"	"24005"	"Unknown or Not Stated"	"99"	"20-24 years"	"20-24"	"High school graduate or GED completed"	"3"	"Yes"	"1"	16	0.00%	22.25	34.56	2339.31	25.18	Not Applicable	28.00
	"Baltimore County, MD"	"24005"	"Unknown or Not Stated"	"99"	"20-24 years"	"20-24"	"High school graduate or GED completed"	"3"	"No"	"2"	69	0.02%	21.77	38.42	3125.77	25.68	Not Applicable	26.84
	"Baltimore County, MD"	"24005"	"Unknown or Not Stated"	"99"	"20-24 years"	"20-24"	"Some college credit, but not a degree"	"4"	"Yes"	"1"	12	0.00%	22.17	35.42	2619.17	27.31	Not Applicable	28.25
	"Baltimore County, MD"	"24005"	"Unknown or Not Stated"	"99"	"20-24 years"	"20-24"	"Some college credit, but not a degree"	"4"	"No"	"2"	52	0.02%	22.46	38.19	3193.85	25.37	Not Applicable	43.78
	"Baltimore County, MD"	"24005"	"Unknown or Not Stated"	"99"	"20-24 years"	"20-24"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	18	0.01%	22.78	39.17	3395.89	25.26	Not Applicable	42.50
	"Baltimore County, MD"	"24005"	"Unknown or Not Stated"	"99"	"25-29 years"	"25-29"	"8th grade or less"	"1"	"No"	"2"	17	0.00%	26.82	39.18	3268.53	25.73	Not Applicable	60.86
	"Baltimore County, MD"	"24005"	"Unknown or Not Stated"	"99"	"25-29 years"	"25-29"	"High school graduate or GED completed"	"3"	"Yes"	"1"	13	0.00%	27.62	33.38	2090.38	28.99	Not Applicable	39.75
	"Baltimore County, MD"	"24005"	"Unknown or Not Stated"	"99"	"25-29 years"	"25-29"	"High school graduate or GED completed"	"3"	"No"	"2"	76	0.02%	26.84	38.38	3143.67	27.31	Not Applicable	49.69
	"Baltimore County, MD"	"24005"	"Unknown or Not Stated"	"99"	"25-29 years"	"25-29"	"Some college credit, but not a degree"	"4"	"Yes"	"1"	10	0.00%	27.20	34.00	2540.50	28.70	Not Applicable	52.60
	"Baltimore County, MD"	"24005"	"Unknown or Not Stated"	"99"	"25-29 years"	"25-29"	"Some college credit, but not a degree"	"4"	"No"	"2"	52	0.02%	27.06	38.65	3274.75	26.95	Not Applicable	42.50
	"Baltimore County, MD"	"24005"	"Unknown or Not Stated"	"99"	"25-29 years"	"25-29"	"Associate degree (AA, AS)"	"5"	"No"	"2"	16	0.00%	26.56	38.44	3157.19	29.74	Not Applicable	37.50
	"Baltimore County, MD"	"24005"	"Unknown or Not Stated"	"99"	"25-29 years"	"25-29"	"Bachelor's degree (BA, AB, BS)"	"6"	"Yes"	"1"	13	0.00%	27.62	32.62	2095.15	23.09	Not Applicable	33.00
	"Baltimore County, MD"	"24005"	"Unknown or Not Stated"	"99"	"25-29 years"	"25-29"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	62	0.02%	27.24	38.67	3398.59	26.71	Not Applicable	36.95
	"Baltimore County, MD"	"24005"	"Unknown or Not Stated"	"99"	"25-29 years"	"25-29"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	31	0.01%	27.90	38.45	3229.03	25.85	Not Applicable	33.00
	"Baltimore County, MD"	"24005"	"Unknown or Not Stated"	"99"	"30-34 years"	"30-34"	"8th grade or less"	"1"	"No"	"2"	14	0.00%	31.07	39.07	3557.50	26.00	Not Applicable	61.25
	"Baltimore County, MD"	"24005"	"Unknown or Not Stated"	"99"	"30-34 years"	"30-34"	"9th through 12th grade with no diploma"	"2"	"No"	"2"	12	0.00%	32.08	39.00	3330.58	28.82	Not Applicable	81.82
	"Baltimore County, MD"	"24005"	"Unknown or Not Stated"	"99"	"30-34 years"	"30-34"	"High school graduate or GED completed"	"3"	"Yes"	"1"	10	0.00%	32.10	35.50	2519.00	25.96	Not Applicable	109.50
	"Baltimore County, MD"	"24005"	"Unknown or Not Stated"	"99"	"30-34 years"	"30-34"	"High school graduate or GED completed"	"3"	"No"	"2"	44	0.01%	32.00	38.43	3135.52	27.11	Not Applicable	55.25
	"Baltimore County, MD"	"24005"	"Unknown or Not Stated"	"99"	"30-34 years"	"30-34"	"Some college credit, but not a degree"	"4"	"Yes"	"1"	13	0.00%	31.69	34.54	2183.85	32.13	Not Applicable	60.25
	"Baltimore County, MD"	"24005"	"Unknown or Not Stated"	"99"	"30-34 years"	"30-34"	"Some college credit, but not a degree"	"4"	"No"	"2"	49	0.01%	31.49	38.22	3160.39	28.55	Not Applicable	56.64
	"Baltimore County, MD"	"24005"	"Unknown or Not Stated"	"99"	"30-34 years"	"30-34"	"Associate degree (AA, AS)"	"5"	"No"	"2"	16	0.00%	31.50	38.44	3169.38	27.73	Not Applicable	39.70
	"Baltimore County, MD"	"24005"	"Unknown or Not Stated"	"99"	"30-34 years"	"30-34"	"Bachelor's degree (BA, AB, BS)"	"6"	"No"	"2"	102	0.03%	31.82	38.85	3395.70	26.03	Not Applicable	46.68
	"Baltimore County, MD"	"24005"	"Unknown or Not Stated"	"99"	"30-34 years"	"30-34"	"Master's degree (MA, MS, MEng, MEd, MSW, MBA)"	"7"	"No"	"2"	61	0.02%	31.90	38.49	3280.57	25.34	Not Applicable	32.23
	"Baltimore County, MD"	"24005"	"Unknown or Not Stated"	"99"	"30-34 years"	"30-34"	"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"	"8"	"No"	"2"	15	0.00%	32.13	39.00	3421.33	25.20	Not Applicable	76.67
	"Baltimore County, MD"	"24005"	"Unknown or Not Stated"	"99"	"35-39 years"	"35-39"	"8th grade or less"	"1"	"No"	"2"	11	0.00%	36.55	36.64	3194.64	27.47	Not Applicable	89.00
	"Baltimore County, MD"	"24005"	"Unknown or Not Stated"	"99"	"35-39 years"	"35-39"	"High school graduate or GED completed"	"3"	"No"	"2"	32	0.01%	36.53	36.71	3328.27	30.36	Not Applicable	76.00
	"Baltimore County, MD"	"24005"	"Unknown or Not Stated"	"99"	"35-39 years"	"35-39"	"Some college credit, but not a degree"	"4"	"Yes"	"1"	10	0.00%	37.10	34.40	2219.50	24.16	Not Applicable	114.40
